,_id,address,description,discoverers,late6,lnge6,location,name,player,timestamp,updated,usage,index
47,ObjectId(5eade50804dea7bd5777cd80),"Carrillo 6, Puertas del Sol, 76114 Santiago de Querétaro, Querétaro, Mexico","Unidad deportiva El Sol 
 Cuenta con canchas de  Básquet, Futball, Tenis, areas verdes, baños y Cafetería .
 Ubicado en Prolongación Bernardo Quintana Colonia el Sol.","[{""agent"":""Maytus"",""team"":""RESISTANCE""}]",20616265,-100442397,"{""type"":""Point"",""coordinates"":[-100.442397,20.616265]}",Deportivo El Sol,evilqueen333,2020-07-11T23:20:20.000Z,2020-07-19T16:13:03.997Z,"{""timestamp"":{""$numberLong"":""1594509620571""},""plain"":2}",11864397
48,ObjectId(5c756c08596fdafe8632cb74),"Carretera Cristo Rañal, 5, 15563, La Coruña, Spain",,"[{""agent"":""Pablito"",""team"":""ALIENS""}]",43564516,-8013860,"{""type"":""Point"",""coordinates"":[-8.01386,43.564516]}",Cruceiro de San Ramón - Moeche,_NEUTRAL_,2020-07-17T13:44:51.891Z,2020-07-17T13:44:51.891Z,"{""timestamp"":{""$numberLong"":""1590792702570""},""plain"":1}",8097715
49,ObjectId(5c223693816b243163660065),"589-591 Park Ave, Paterson, NJ 07504, USA",,"[{""agent"":""AWiseFool"",""team"":""RESISTANCE""}]",40913292,-74139395,"{""type"":""Point"",""coordinates"":[-74.139395,40.913292]}",Christopher Columbus,SketchyJohn,2020-07-18T18:25:45.000Z,2020-07-18T18:54:56.238Z,"{""timestamp"":{""$numberLong"":""1595096745400""},""plain"":1}",6847826
50,ObjectId(5e9fa719402e17f771341cde),"Jotunheimstien, Gjøvik, Innlandet, Norway",,[],60718957,10504129,"{""type"":""Point"",""coordinates"":[10.504129,60.718957]}",Trebrua ved Tjernsmyra,_NEUTRAL_,2020-07-18T10:26:45.632Z,2020-07-18T10:26:45.632Z,,11655719
51,ObjectId(5c2235bf816b2431633686d8),"223-299 Virginia Ave, Colonial Heights, VA","Lt. Col. Walter H. Taylor, Confederate Gen. Robert E. Lee’s aide, established Lee’s headquarters here at Violet Bank on June 17, 1864, at the beginning of the siege of Petersburg. The city, protected by Confederate defensive works to the east and south, remained connected to Richmond, the Confederate capital, via the Richmond and Petersburg Railroad as well as the Manchester and Petersburg Turnpike. Violet Bank was located near each transportation route, enabling Lee to travel quickly to Richmond to confer with Confederate President Jefferson Davis, who also visited Lee here. While at Violet Bank, Lee learned of the explosion that began the Battle of The Crater on July 30, 1864, and rushed to the front to direct the Confederate counterattack. Lee spent a good deal of time north of the James River at Chaffin’s Bluff after August 15, but maintained his headquarters here until October 28, when he moved to another location in Petersburg. Union troops occupied Violet Bank briefly after Lee evacuated Petersburg on April 2-3. 1865.<br><br>  <i>(sidebar)</i><br> This is the second house located on this site. Thomas Shore constructed the first house here in 1778; it burned in 1810. The present house, which Shore’s widow completed in 1815, resembled Richmond houses designed or influenced by noted architect Benjamin Henry Latrobe, as well as Alexander Parris, a New Englander who designed the Governor’s Mansion in Richmond. Violet Bank is noteworthy for its refined architectural features, including the three-part bays, intricate woodwork, and elaborate plaster ornamentation. The house served as the home of the Colonial Heights Post No. 284 of the American Legion from 1948 until 1959. It is now operated as a house museum.","[{""agent"":""TwisTtTwiTcH"",""team"":""RESISTANCE""},{""agent"":""BBSLICK"",""team"":""ALIENS""}]",37241700,-77405200,"{""type"":""Point"",""coordinates"":[-77.4052,37.2417]}",Lee at Violet Bank,_NEUTRAL_,2020-07-18T23:39:58.408Z,2020-07-18T23:39:58.408Z,"{""timestamp"":{""$numberLong"":""1578680575435""},""plain"":1}",3842060
52,ObjectId(5c22364a816b243163576891),"Schlösslistrasse 17, 2504 Biel, Switzerland",,"[{""agent"":""gagamaster"",""team"":""RESISTANCE""}]",47152484,7268273,"{""type"":""Point"",""coordinates"":[7.268273,47.152484]}",Fontaine de 1840,_NEUTRAL_,2020-07-18T11:11:47.525Z,2020-07-18T11:11:47.525Z,"{""timestamp"":{""$numberLong"":""1568111492302""},""plain"":2}",5927124
53,ObjectId(5c4eaec8bfa846742163f9f5),"Jl. Pamugaran Bulak Laut, Pangandaran, Jawa Barat 46396, Indonesia",,"[{""agent"":""ilickur69"",""team"":""ALIENS""}]",-7704039,108657637,"{""type"":""Point"",""coordinates"":[108.657637,-7.704039]}",Masjid Kubah Emas Baiturrahman,_NEUTRAL_,2020-07-18T06:52:58.076Z,2020-07-18T06:52:58.076Z,"{""timestamp"":{""$numberLong"":""1565134280020""},""plain"":4}",7744486
54,ObjectId(5dee35271d69b2b9beeee074),"84 Braybrooke Rd, Desborough, Kettering NN14 2LJ, UK",Located just off Braybrook Rd this sports area was formally a playground however the play equipment was removed many years ago.,[],52446120,-834987,"{""type"":""Point"",""coordinates"":[-0.834987,52.44612]}",Braybrooke Road Football Pitch,_NEUTRAL_,2020-07-17T12:25:36.943Z,2020-07-17T12:25:36.944Z,"{""timestamp"":{""$numberLong"":""1577133032398""},""plain"":2}",10190720
55,ObjectId(5c22365e816b2431635bce42),"Pappilantie 14, 33980 Pirkkala, Finland",,"[{""agent"":""Vaeltaja"",""team"":""ALIENS""}]",61460566,23566919,"{""type"":""Point"",""coordinates"":[23.566919,61.460566]}",Muuaalle haudattujen muistomerkki,_NEUTRAL_,2020-07-19T09:56:10.856Z,2020-07-19T09:56:10.856Z,"{""timestamp"":{""$numberLong"":""1593263831671""},""plain"":4}",6203557
56,ObjectId(5c223525816b2431630c845c),"143 Keen St, Lismore NSW 2480, Australia",,"[{""agent"":""Jacobstaff"",""team"":""RESISTANCE""}]",-28809362,153278150,"{""type"":""Point"",""coordinates"":[153.27815,-28.809362]}",Life Pole,Dazzrad,2020-07-14T04:44:48.000Z,2020-07-19T14:12:18.349Z,"{""timestamp"":{""$numberLong"":""1594701888960""},""plain"":2}",1171663
57,ObjectId(5c2235a6816b24316330ad62),"Zähringerstraße 14, 69234 Dielheim, Germany",,"[{""agent"":""Massani1801"",""team"":""ALIENS""},{""agent"":""pfandfrei"",""team"":""ALIENS""}]",49283225,8735358,"{""type"":""Point"",""coordinates"":[8.735358,49.283225]}",Jesus Kreuz ,Niggl,2020-07-02T19:58:01.000Z,2020-07-20T01:11:57.511Z,"{""timestamp"":{""$numberLong"":""1593720565480""},""plain"":1}",3469582
58,ObjectId(5dc082f0bf5db3472a6b92b2),"Lutherpl. 4, 01662 Meißen, Germany",Spielplatz in Meißen Cölln am Lutherplatz.,[],51159906,13485238,"{""type"":""Point"",""coordinates"":[13.485238,51.159906]}",Spieli Lutherplatz,_NEUTRAL_,2020-07-19T00:13:59.646Z,2020-07-19T00:13:59.646Z,"{""timestamp"":{""$numberLong"":""1594399915047""},""plain"":3}",9686879
59,ObjectId(5c2235c5816b243163381a78),"Ulitsa 70 Letiya Oktyabrya, Novy Urengoy, Yamalo-Nenetskiy, Russia, 629307",Вентильный стенд,"[{""agent"":""Mageeg"",""team"":""RESISTANCE""}]",66119094,76668961,"{""type"":""Point"",""coordinates"":[76.668961,66.119094]}",Часы: Nord Stream,_NEUTRAL_,2020-07-19T12:46:51.920Z,2020-07-19T12:46:51.920Z,"{""timestamp"":{""$numberLong"":""1587115981614""},""plain"":4}",3942807
60,ObjectId(5c2236b8816b2431636e32b6),"46-48 Boulevard Raspail, 75006 Paris, France","Ici
Est tombé pour la France
Un F.F.I inconnu
Le 21 août 1944","[{""agent"":""Lasteele"",""team"":""ALIENS""}]",48851127,2326739,"{""type"":""Point"",""coordinates"":[2.326739,48.851127]}",Plaque commémorative FFI inconnu,_NEUTRAL_,2020-07-19T13:50:10.852Z,2020-07-19T13:50:10.852Z,"{""timestamp"":{""$numberLong"":""1594843519226""},""plain"":3}",7369951
61,ObjectId(5c22357e816b24316325f6fc),"3 Shenton Lane, Market Bosworth, Nuneaton, Leicestershire CV13 0PN, UK","Memorial stone placed at the entrance to Bosworth cemetery, which opened in 2006. ","[{""agent"":""Benchamoneh"",""team"":""ALIENS""}]",52622303,-1402607,"{""type"":""Point"",""coordinates"":[-1.402607,52.622303]}",Bosworth Cemetery Stone,_NEUTRAL_,2020-07-17T12:24:28.077Z,2020-07-17T12:24:28.077Z,"{""timestamp"":{""$numberLong"":""1577788321481""},""plain"":2}",2790158
62,ObjectId(5c2235f9816b243163450388),"Måndagsvägen 17, 123 60 Farsta, Sweden",,"[{""agent"":""KaliYuga"",""team"":""ALIENS""}]",59259417,18093521,"{""type"":""Point"",""coordinates"":[18.093521,59.259417]}",Salmon Meets Eagle,Sockan47,2020-07-18T09:52:29.000Z,2020-07-18T10:23:01.770Z,"{""timestamp"":{""$numberLong"":""1595065997079""},""plain"":5}",4763124
